Degrees C,Degrees F,Humidity,Timestamp
22.66,72.79,38.35,2022-05-20 17:05:02
22.41,72.34,38.61,2022-05-20 18:05:02
21.04,69.87,39.42,2022-05-20 19:05:02
20.06,68.11,41.7,2022-05-20 20:05:02
20.81,69.46,43.5,2022-05-20 21:05:02
20.57,69.03,38.99,2022-05-20 22:05:02
21.68,71.02,44.05,2022-05-20 23:05:02
22.43,72.37,43.91,2022-05-21 00:05:01
22.93,73.27,43.87,2022-05-21 01:05:02
23.22,73.8,43.36,2022-05-21 02:05:02
23.39,74.1,43.55,2022-05-21 03:05:02
23.53,74.35,43.47,2022-05-21 04:05:02
23.59,74.46,43.5,2022-05-21 05:05:02
23.67,74.61,44.03,2022-05-21 06:05:02
23.69,74.64,44.01,2022-05-21 07:05:02
23.89,75.0,53.3,2022-05-21 08:05:02
24.06,75.31,49.79,2022-05-21 09:05:02
24.93,76.87,47.85,2022-05-21 11:19:02
25.03,77.05,47.33,2022-05-21 12:05:02
25.34,77.61,46.9,2022-05-21 13:05:02
25.49,77.88,46.31,2022-05-21 14:05:02
25.35,77.63,46.74,2022-05-21 15:05:02
25.29,77.52,46.55,2022-05-21 16:05:02
25.21,77.38,46.37,2022-05-21 17:05:02
25.23,77.41,46.51,2022-05-21 18:05:02
23.44,74.19,35.22,2022-05-21 19:05:02
21.69,71.04,34.23,2022-05-21 20:05:02
21.35,70.43,39.3,2022-05-21 21:05:02
22.5,72.5,41.54,2022-05-21 22:05:02
23.09,73.56,42.4,2022-05-21 23:05:02
23.38,74.08,42.49,2022-05-22 00:05:02
23.56,74.41,42.43,2022-05-22 01:05:02
23.62,74.52,42.55,2022-05-22 02:05:02
23.59,74.46,42.48,2022-05-22 03:05:02
23.59,74.46,42.57,2022-05-22 04:05:02
23.51,74.32,42.63,2022-05-22 05:05:02
23.45,74.21,42.72,2022-05-22 06:05:02
23.38,74.08,43.02,2022-05-22 07:05:02
23.56,74.41,43.62,2022-05-22 08:05:02
24.65,76.37,42.55,2022-05-22 09:05:02
24.79,76.62,42.2,2022-05-22 10:05:01
24.76,76.57,42.16,2022-05-22 11:05:02
25.09,77.16,46.4,2022-05-22 12:05:02
25.0,77.0,45.41,2022-05-22 13:05:02
24.95,76.91,44.87,2022-05-22 14:05:02
25.38,77.68,44.94,2022-05-22 15:05:02
25.22,77.4,36.99,2022-05-22 16:05:01
25.04,77.07,32.8,2022-05-22 17:05:02
25.06,77.11,38.48,2022-05-22 18:05:02
24.3,75.74,42.1,2022-05-22 19:05:02
24.29,75.72,43.03,2022-05-22 20:05:02
23.94,75.09,33.02,2022-05-22 21:05:01
23.83,74.89,38.67,2022-05-22 22:05:02
23.83,74.89,40.44,2022-05-22 23:05:02
23.83,74.89,41.75,2022-05-23 00:05:02
23.83,74.89,41.61,2022-05-23 01:05:02
23.75,74.75,41.71,2022-05-23 02:05:02
23.67,74.61,41.98,2022-05-23 03:05:02
23.59,74.46,42.26,2022-05-23 04:05:02
23.51,74.32,42.59,2022-05-23 05:05:02
23.43,74.17,42.98,2022-05-23 06:05:02
23.53,74.35,47.39,2022-05-23 07:05:02
23.71,74.68,46.86,2022-05-23 08:05:02
24.01,75.22,44.73,2022-05-23 09:05:02
24.33,75.79,43.54,2022-05-23 10:05:02
24.42,75.96,43.53,2022-05-23 11:05:02
24.49,76.08,43.82,2022-05-23 12:05:02
24.53,76.15,43.7,2022-05-23 13:05:02
24.56,76.21,43.42,2022-05-23 14:05:02
24.59,76.26,44.03,2022-05-23 15:05:02
24.68,76.42,43.76,2022-05-23 16:05:02
24.66,76.39,43.62,2022-05-23 17:05:02
24.72,76.5,44.07,2022-05-23 18:05:02
24.9,76.82,46.16,2022-05-23 19:05:02
23.86,74.95,33.19,2022-05-23 20:05:02
22.81,73.06,32.97,2022-05-23 21:05:01
23.72,74.7,40.22,2022-05-23 22:05:02
24.09,75.36,41.47,2022-05-23 23:05:02
24.29,75.72,42.65,2022-05-24 00:05:02
24.37,75.87,43.02,2022-05-24 01:05:02
24.43,75.97,43.44,2022-05-24 02:05:02
24.44,75.99,43.3,2022-05-24 03:05:01
24.38,75.88,43.34,2022-05-24 04:05:02
24.38,75.88,43.77,2022-05-24 05:05:02
24.38,75.88,44.86,2022-05-24 06:05:02
24.49,76.08,48.96,2022-05-24 07:05:02
24.56,76.21,47.89,2022-05-24 08:05:02
24.76,76.57,46.46,2022-05-24 09:05:02
25.05,77.09,44.99,2022-05-24 10:05:02
25.24,77.43,44.35,2022-05-24 11:05:02
25.27,77.49,44.19,2022-05-24 12:05:02
25.33,77.59,44.67,2022-05-24 13:05:02
25.35,77.63,44.64,2022-05-24 14:05:02
25.39,77.7,44.44,2022-05-24 15:05:02
25.44,77.79,45.05,2022-05-24 16:05:02
